aplus,country_of_origin,description,item_height,item_height_unit,item_length,item_length_unit,item_width,item_width_unit,product_asin,product_brand,product_bullets,product_category,product_images,product_material,product_price,product_rating_count,product_stars,product_title,product_url,product_videos,product_weight
"https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/fa0a8ce6-acc6-4798-9226-030d3b0e9aa7.__CR0,0,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/90f30a18-b306-4c7b-8880-d37cca27625a.__CR0,30,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/34cefe25-0588-4875-a658-0ff1bfc259e1.__CR0,30,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/2435c823-0679-48a3-89b0-ce2410975ec1.__CR0,30,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/2f4f6e3d-0feb-44ed-b292-88570b0ee7c2.__CR0,30,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/d2b2ae00-195d-4410-ad93-f742e19d0ae5.__CR0,30,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/cbdec072-13ec-46ad-aeab-3f5569aff507.__CR0,30,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/43209199-7347-42a5-9dd7-8ced0184f600.__CR0,30,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/bc7de9e6-f353-4b6c-971a-b08790ad9bcd.__CR0,30,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/5bff9a63-eec2-404a-8b70-505260d132d1.__CR0,30,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/b8bc63ab-baff-488c-8f4f-97f7e2817b4b.__CR0,0,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/ddf12878-bd8e-4abc-8aa7-2f66e6ea62d4.__CR0,0,200,225_PT0_SX200_V1___.png,https://m.media-amazon.com/images/S/aplus-media-library-service-media/7982f472-a2e2-48d8-ae25-339ecfddab80.__CR0,0,200,225_PT0_SX200_V1___.png,https://m.media-amazon.com/images/S/aplus-media-library-service-media/9482a6a6-ddac-434a-8529-419c008c4019.__CR0,0,200,225_PT0_SX200_V1___.png,https://m.media-amazon.com/images/S/aplus-media-library-service-media/3c01b325-f0ba-45dc-8a7f-894f0961a145.__CR0,0,200,225_PT0_SX200_V1___.png,https://m.media-amazon.com/images/S/aplus-media-library-service-media/2e61db5a-96b4-464a-8a0e-947c49acb1cf.__CR0,0,200,225_PT0_SX200_V1___.png,https://m.media-amazon.com/images/S/aplus-media-library-service-media/c27faa4a-7e1d-4c39-a791-a4a9e68f0317.__CR0,0,1464,600_PT0_SX1464_V1___.png,https://m.media-amazon.com/images/S/aplus-media-library-service-media/9a6e3a4f-c806-4554-924c-ef359abf7172.__CR0,0,1464,600_PT0_SX1464_V1___.png",,,,,,,,,B09N3ZNHTY,,"Playback- Enjoy an extended break on weekends with your favourite episodes on stream, virtue of a playback time of up to 42 hours including the 6 hours nonstop playtime for earbuds. Frequency 20Hz-20KHz,Low Latency- Our BEAST mode makes these true wireless earbuds a partner in entertainment with real-time audio and low latency experience.,Clear Voice Calls- It dons built-in mic on each earbud along with our ENx Environmental Noise Cancellation tech that ensures a smooth delivery of your voice via voice calls.,boAt Signature Sound- Delve into your cherished boAt Immersive auditory time with Airdopes 141.,ASAP Charge- The earbuds are equipped with our ASAP Charge feature that offers up to 75 min of playtime in just 5 min of charge; while the carry case comes along with the Type C interface.,Instant Connect- Connect to your morning playlists without any hiccup via the Insta Wake N’ Pair technology that powers on these true wireless earbuds as soon as you open the case cover.,IP Rating- The earbuds' body comes protected with IPX4 rating for water and sweat resistance.,Voice Assistant- You can summon your default voice assistant(s) with ease via its One Touch Voice Assistant.,1 year warranty from the date of purchase","Electronics,Headphones, Earbuds & Accessories,Headphones,In-Ear","https://m.media-amazon.com/images/I/31GUbeFG3FL.jpg,https://m.media-amazon.com/images/I/41RWAaTh0DL.jpg,https://m.media-amazon.com/images/I/419wluBf-HL.jpg,https://m.media-amazon.com/images/I/513Ayj6hifL.jpg,https://m.media-amazon.com/images/I/514k2XXPnDL.jpg,https://m.media-amazon.com/images/I/41CsJHeIrML.jpg,https://m.media-amazon.com/images/I/41cVkl2GiNL.jpg",,"1,299","1,41,798 global ratings",3.9,"boAt Airdopes 141 Bluetooth Truly Wireless in Ear Earbuds with mic, 42H Playtime, Beast Mode(Low Latency Upto 80ms) for Gaming, ENx Tech, ASAP Charge, IWP, IPX4 Water Resistance (Bold Black)",https://www.amazon.in/Airdopes-141-Playtime-Resistance-Bluetooth/dp/B09N3ZNHTY,,
"https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/044e9861-3d32-4628-801f-eb396ec2b732.__CR0,0,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/63ae12cc-014e-4e02-820d-7858032d2952.__CR0,0,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/1d53059a-f028-489c-abdd-1a163bc2b602.__CR0,0,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/0a3ea13b-76b5-4366-8659-d1f7ae420227.__CR0,0,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/63c36ce7-268c-41a0-bb9f-5c66cf431c1d.__CR0,0,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/58f083df-e3b0-4036-947f-6e04b4f24311.__CR0,0,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/93bf5804-0b39-4d81-914c-4c0040934321.__CR0,0,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/9482a6a6-ddac-434a-8529-419c008c4019.__CR0,0,200,225_PT0_SX200_V1___.png,https://m.media-amazon.com/images/S/aplus-media-library-service-media/ddf12878-bd8e-4abc-8aa7-2f66e6ea62d4.__CR0,0,200,225_PT0_SX200_V1___.png,https://m.media-amazon.com/images/S/aplus-media-library-service-media/7982f472-a2e2-48d8-ae25-339ecfddab80.__CR0,0,200,225_PT0_SX200_V1___.png,https://m.media-amazon.com/images/S/aplus-media-library-service-media/3c01b325-f0ba-45dc-8a7f-894f0961a145.__CR0,0,200,225_PT0_SX200_V1___.png,https://m.media-amazon.com/images/S/aplus-media-library-service-media/2e61db5a-96b4-464a-8a0e-947c49acb1cf.__CR0,0,200,225_PT0_SX200_V1___.png,https://m.media-amazon.com/images/S/aplus-media-library-service-media/c27faa4a-7e1d-4c39-a791-a4a9e68f0317.__CR0,0,1464,600_PT0_SX1464_V1___.png,https://m.media-amazon.com/images/S/aplus-media-library-service-media/9a6e3a4f-c806-4554-924c-ef359abf7172.__CR0,0,1464,600_PT0_SX1464_V1___.png",,,,,,,,,B08JQN8DGZ,,"Playback- Airdopes 121v2 offers a nonstop playback of up to 3.5H with each charge and an additional 10.5H playtime with the included charging case,Lightweight- With a dual tone finish on a lightweight ergonomic design weighing just around 4g per earbud, get ready to groove in full flow with Airdopes 121v2v2 TWS earbuds,Drivers- It possesses powerful 8mm drivers that pump out immersive auditory experience all day long,Battery Indicator- Its carry cum charge case also has the battery LED indicator that shows the remaining power for the case,Controls- The true wireless earbuds offer easy access multifunction button controls with stereo calling feature for an overall seamless user experience.,Bluetooth- These true wireless earbuds offer a true wireless experience for real time audio with Bluetooth v5.0.,Voice Assistant- You can access the instant voice assistant via just a single press of the Multifunction Button,1 year warranty from the date of purchase","Electronics,Headphones, Earbuds & Accessories,Headphones,In-Ear","https://m.media-amazon.com/images/I/31KjuRb9oNL.jpg,https://m.media-amazon.com/images/I/41Ty01EFkvL.jpg,https://m.media-amazon.com/images/I/41yPyUAidCL.jpg,https://m.media-amazon.com/images/I/413h6yPSxhL.jpg,https://m.media-amazon.com/images/I/41OaWq7zNvL.jpg,https://m.media-amazon.com/images/I/416tfNkPVGL.jpg,https://m.media-amazon.com/images/I/416tfNkPVGL.jpg",,"1,299","1,84,071 global ratings",3.8,"boAt Airdopes 121v2 in-Ear True Wireless Earbuds with Upto 14 Hours Playback, 8MM Drivers, Battery Indicators, Lightweight Earbuds & Multifunction Controls (Active Black, with Mic)",https://www.amazon.in/Airdopes-121v2-Bluetooth-Immersive-Assistant/dp/B08JQN8DGZ,,
"https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/c84d65e4-e849-4077-b765-306713441221.__CR0,0,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/18d80126-50e8-4fda-9412-ca71f594446b.__CR0,0,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/cd835384-f1ad-4973-a87f-47beccfe468e.__CR0,30,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/b6815360-e93a-4ba6-9660-f20b3871081d.__CR0,30,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/7cb0aa41-f6ee-45b4-8f24-4979354661c6.__CR0,0,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/ebf3d2bf-a46f-4be5-bed8-bcb9b40559bc.__CR0,30,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/99338b70-b9c0-46f2-b976-839a50610c24.__CR0,0,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/caace22e-82c7-4222-9ca9-38af71a97ff2.__CR0,0,1464,600_PT0_SX1464_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/aa9b477c-c7c7-4f5e-bbb2-36fd3a0f7115.__CR0,0,1464,600_PT0_SX1464_V1___.png",,,,,,,,,B071Z8M4KX,,"The perfect way to add some style and stand out from the crowd with the boAt BassHeads 100 ""Hawk"" inspired earphones. Impedance 16Ω, Sensitivity (dB) 92db ±3db, Frequency Response 20Hz-20KHz,The stylish BassHeads 100 superior coated wired earphones are a definite fashion statement - wear your attitude with its wide variety of collection,The powerful 10mm dynamic driver with the speaker resistance of 16 ohm enables the earphone to deliver a punchy, rhythmic response to the most demanding tracks,Features a HD microphone to make crystal clear calls - making life easier on the go, play/pause music or answer/end calls with one-click, track forward with two-clicks or back with 3 clicks make these earphones extremely user-friendly,With 1.2 meters perfect length cable now plug it in anywhere with ease - while the earphones are extremely user-friendly and stylish, extruding premium coating on the wire cable is a manufacturing process that we've been performing and refining since our company's inception,Its impeccable fit won't let you take these wonderfully amazing earphones off, fits you perfectly without hurting your ears and the perfect arc, with different size ear tips helps you in achieving superior comfort even with long listening hours.,1 year warranty from the date of purchase","Electronics,Headphones, Earbuds & Accessories,Headphones,In-Ear","https://m.media-amazon.com/images/I/31IdiM9ZM8L.jpg,https://m.media-amazon.com/images/I/41SKuGONqDL.jpg,https://m.media-amazon.com/images/I/41uFZxUySsL.jpg,https://m.media-amazon.com/images/I/410mDdMqxXL.jpg,https://m.media-amazon.com/images/I/41HbUP3iP5L.jpg,https://m.media-amazon.com/images/I/41xANVHKNaL.jpg,https://m.media-amazon.com/images/I/41tyzj-icWL.jpg",,370,"3,66,171 global ratings",4.1,boAt BassHeads 100 in-Ear Wired Headphones with Mic (Black),https://www.amazon.in/boAt-BassHeads-100-Headphones-Black/dp/B071Z8M4KX,,
"https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/775c9f9b-f188-454e-bfaf-b83ae799971b.__CR0,0,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/df4a6b6f-8bc5-4019-932e-fdb7eb353b31.__CR0,0,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/6b14cfb8-052b-4b1f-9f2e-68bc235555fb.__CR0,0,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/3df47c2d-e639-4e03-82f8-648125cd6338.__CR0,30,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/5491f29a-1761-40b6-aba6-1239635bb98f.__CR0,0,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/dbb8463f-67e6-4131-a536-dabaa72de0e5.__CR0,0,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/776ff14e-8b51-4db5-b5d2-2ec00333013b.__CR0,0,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/9dd5af24-0ca7-4bda-98d6-e8b969cf1eb5.__CR0,0,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/07ad334a-3c76-4abc-85ad-d19a922f59f0.__CR0,0,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/8ff5e06e-7adb-4363-9c42-ec33072768bf.__CR0,0,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/8327b021-00b0-446d-86cd-bc5b44950325.__CR0,0,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/68be274f-a044-41d3-8b81-21c53de8bc6c.__CR0,0,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/a8714aad-8a38-423f-b5d1-5c16d17d2a1c.__CR0,0,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/d2548c1c-6932-473b-be24-c4ff0c0646e7.__CR0,0,200,225_PT0_SX200_V1___.png,https://m.media-amazon.com/images/S/aplus-media-library-service-media/bd90f0f6-0a3a-403b-9a03-63817957db34.__CR0,0,200,225_PT0_SX200_V1___.png,https://m.media-amazon.com/images/S/aplus-media-library-service-media/ae5ec91c-4a3a-437e-936b-ddad62a2d06f.__CR0,0,200,225_PT0_SX200_V1___.png,https://m.media-amazon.com/images/S/aplus-media-library-service-media/c0a2a2cd-e8b5-4525-b869-e295dbc1a11a.__CR0,0,200,225_PT0_SX200_V1___.png,https://m.media-amazon.com/images/S/aplus-media-library-service-media/1abd0b33-5e68-4bee-aaaf-1a139bbd8f8e.__CR0,0,200,225_PT0_SX200_V1___.png,https://m.media-amazon.com/images/S/aplus-media-library-service-media/69177352-e817-47f2-bbb1-04f1713e8a7b.__CR0,0,200,225_PT0_SX200_V1___.png,https://m.media-amazon.com/images/S/aplus-media-library-service-media/d26d378a-38ed-43b6-a91d-96015a56f54f.__CR0,0,200,225_PT0_SX200_V1___.png,https://m.media-amazon.com/images/S/aplus-media-library-service-media/aa9b477c-c7c7-4f5e-bbb2-36fd3a0f7115.__CR0,0,1464,600_PT0_SX1464_V1___.png,https://m.media-amazon.com/images/S/aplus-media-library-service-media/9a6e3a4f-c806-4554-924c-ef359abf7172.__CR0,0,1464,600_PT0_SX1464_V1___.png,https://m.media-amazon.com/images/S/aplus-media-library-service-media/fcd3df25-fbb3-4d0c-8d28-b138a1e74bf3.__CR0,0,1464,600_PT0_SX1464_V1___.png",,,,,,,,,B08TV2P1N8,,"Playback- Leave all charging worries at bay as the Rockerz 255 Pro+ comes with a humongous battery back up of upto 40 hours(@50% volume,ASAP Charge- With a few minutes of ASAP Charge you can get upto 10 hours of audio time by charging them for only 10 mins. Charging Tme : 1.5 H,Drivers- The unbeatable boAt signature sound shines through no matter what are you playing courtesy its 10mm drivers.,IP Rating- Rockerz 255 Pro+ are perfect for the outdoors and daily workout as they are IPX7 rated.,Controls- Its multi-function Integrated controls lends an intuitive listening experience with volume increase and Decrease and Stop and Play buttons,Dual Pairing- This neckband features dual pairing so that you can connect 2 devices at once. Live a wireless life with advanced BT 5.0 technology.,Magnetic Earbuds- Live tangle- free life with its magnetic earbuds. Note: They do not support play/pause function,Voice Assistant- Check weather, news, and latest cricket scores with a single press VA on Google and SIRI with its single press voice assistant.,1 year warranty from the date of purchase","Electronics,Headphones, Earbuds & Accessories,Headphones,In-Ear","https://m.media-amazon.com/images/I/31HCup1pqFL.jpg,https://m.media-amazon.com/images/I/51LZyQZfANL.jpg,https://m.media-amazon.com/images/I/41HC70Jr3eL.jpg,https://m.media-amazon.com/images/I/41Lu+pnSkbL.jpg,https://m.media-amazon.com/images/I/41ptoNcbIVL.jpg,https://m.media-amazon.com/images/I/41Y1YvrEWaL.jpg,https://m.media-amazon.com/images/I/41bFqKZvHPL.jpg",,"1,299","1,44,827 global ratings",4.1,"boAt Rockerz 255 Pro+ in-Ear Bluetooth Neckband with Upto 40 Hours Playback, ASAP  Charge, IPX7, Dual Pairing, BT v5.0, with Mic (Active Black)",https://www.amazon.in/boAt-Rockerz-255-Pro-Earphones/dp/B08TV2P1N8,,
"https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/35a33ecf-4b89-43c2-99a7-4c008374f40c.__CR0,0,1464,600_PT0_SX1464_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/2f765ba7-bea8-4914-be5d-b2cc3e387061.__CR0,0,300,225_PT0_SX300_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/da99db22-0221-4c39-8aed-0b3db29ac42f.__CR0,0,300,225_PT0_SX300_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/b4325b8e-6009-4acd-a9c1-e92876991485.__CR0,0,300,225_PT0_SX300_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/a887c4c8-375d-4346-96ed-3d8df63d40a5.__CR0,0,300,225_PT0_SX300_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/9c9379d6-a2de-442a-99c0-4368cd33f526.__CR0,0,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/ca2b5b25-4a89-495f-b98b-630aa19e7b6f.__CR0,0,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/75e3d219-75d9-4b25-9cac-8ab350df9a7b.__CR0,0,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/9f3db332-a003-4a06-bfad-937bb1661910.__CR0,3,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/d4c05265-99cb-4e8b-a81c-10311aec1061.__CR0,3,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/3bd1200a-8b10-477b-8e02-38c9af0460fa.__CR0,3,1464,600_PT0_SX1464_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/540092b9-d325-4e0b-9175-1eca03874308.__CR0,0,488,700_PT0_SX488_V1___.jpg,https://m.media-amazon.com/images/S/aplus-media-library-service-media/9cd852fd-f397-4836-aac0-e1af79bba711.__CR0,0,488,700_PT0_SX488_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/aa9b477c-c7c7-4f5e-bbb2-36fd3a0f7115.__CR0,0,1464,600_PT0_SX1464_V1___.png",,,,,,,,,B07PR1CL3S,,"Playback- It provides a massive battery backup of upto 15 hours for a superior playback time. Charging Time : 3 Hours,Drivers- Its 40mm dynamic drivers help pump out immersive HD audio all day long.,Earcushions- It has been ergonomically designed and structured as an on-ear headphone to provide the best user experience with its comfortable padded earcushions and lightweight design,Controls- You can control your music without hiccups using the easy access controls, communicate seamlessly using the built-in mic, access voice assistant and always stay in the zone,Dual Modes- One can connect to boAt Rockerz 450 via not one but two modes, Bluetooth as well as AUX,1 year warranty from the date of purchase","Electronics,Headphones, Earbuds & Accessories,Headphones,On-Ear","https://m.media-amazon.com/images/I/315vj6oj-FL.jpg,https://m.media-amazon.com/images/I/51Rk29HEVtL.jpg,https://m.media-amazon.com/images/I/31p3heewEbL.jpg,https://m.media-amazon.com/images/I/41BDB57kvjL.jpg,https://m.media-amazon.com/images/I/51GEYxWLzXL.jpg,https://m.media-amazon.com/images/I/41H74GFzNwL.jpg,https://m.media-amazon.com/images/I/41hFCvQm2+L.jpg",,"1,399","1,08,644 global ratings",4.1,"boAt Rockerz 450 Bluetooth On Ear Headphones with Mic, Upto 15 Hours Playback, 40MM Drivers, Padded Ear Cushions, Integrated Controls and Dual Modes(Luscious Black)",https://www.amazon.in/Rockerz-450-Wireless-Bluetooth-Headphone/dp/B07PR1CL3S,,
