aplus,country_of_origin,description,item_height,item_height_unit,item_length,item_length_unit,item_width,item_width_unit,product_asin,product_brand,product_bullets,product_category,product_images,product_material,product_price,product_rating_count,product_stars,product_title,product_url,product_videos,product_weight
"https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/2eb1dc49-2951-4d4f-b861-56825205e570.__CR0,0,970,600_PT0_SX970_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/63dfcac2-0775-45a1-8b09-b367b7a0f454.__CR0,0,970,600_PT0_SX970_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/e50871c0-1f59-4dd8-b0fd-5a4dd18008b4.__CR0,0,970,600_PT0_SX970_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/bd1728e0-9789-4503-b850-1049c141c556.__CR0,0,4042,2500_PT0_SX970_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/f4bd0fae-5dd5-458c-bad9-f1a10fcae022.__CR0,0,970,300_PT0_SX970_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/8d2a1ede-e831-4318-ab3e-be115b6d628c.__CR0,0,970,600_PT0_SX970_V1___.jpg",,,,,,,,,B09YD6V14Z, Yellow Chimes ,"Going traditional is always in trend. Deck your neck up this festive season with our Emerald Beads and Kundan Statement Necklace, one enogh to hold everyone's eyes. The typical craftmenship holds the authenticity of Rajwada culture.,Yellow Chimes by Globalbees brings you skilfully crafted collection of Kundan Jewellery with quality checked raw materials used in its making, in accordance with the set industry norms, giving the product a superior attractiveness, superior shine and a fine finishing.,Usage- An ethnic dress- be it saree to drape or Kurta Set of any style, perfect choice for all your festive occasions! With this jewellery set you don't need anything else to make you stand out.,3 Units Overall. Size Details - Necklace:Full Length Including Adjustable: 41.5cm, Frontend Length: 25CM Width: 6.5cm. Earrings: Length: 3.8cm, Width: 1.7 cm.,Ideal Gift for Women ! - Ideal Valentine, Birthday, Anniversary gift for someone you ❤ LOVE ❤. With our packaging Box, you do not need to opt-in for any additional gift packaging. The product comes in a beautiful Elegant Ready-to-Gift Box.","Jewellery,Girls,Jewellery Sets","https://m.media-amazon.com/images/I/41FFAnR16SL.jpg,https://m.media-amazon.com/images/I/51SpUH3khRL.jpg,https://m.media-amazon.com/images/I/31QxrvcrYFL.jpg,https://m.media-amazon.com/images/I/31hdYDZyQwL.jpg,https://m.media-amazon.com/images/I/4118eY3tm7L.jpg", Brass ,,,,Yellow Chimes Kundan Jewellery Set for Women Multilayed Pearl Choker Necklace Set Gold Plated Traditional Necklace Set for Women and Girls.,https://www.amazon.in/Yellow-Chimes-Jewellery-Multilayed-Traditional/dp/B09YD6V14Z,,100 g
"https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/23c00838-db8d-4433-b7cd-907e439111cf.__CR0,0,970,600_PT0_SX970_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/0ba4dcd8-d4ab-4dc0-ac37-1a54fa6a4e87.__CR0,0,970,600_PT0_SX970_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/67b9b485-64a7-4b4f-8958-b2f5c2a50a84.__CR0,0,970,600_PT0_SX970_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/c7f25bca-1637-4e4c-a166-fa5a68c4f7b3.__CR0,0,970,600_PT0_SX970_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/54c287c0-c61b-4b9a-a8ee-6e8538ff3464.__CR0,0,970,300_PT0_SX970_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/0e2b5c8f-491b-4f65-bc11-1b1e4946527a.__CR0,0,970,600_PT0_SX970_V1___.jpg",China,,,,48,Centimeters,,,B01CZELI0Y, Yellow Chimes ,"Care Instructions: Wipe with Soft Cloth after every use. Keep away from Water, sprays or perfumes. Try to store your jewellery in a flat box to avoid accidental scratches.","Jewellery,Women,Earrings","https://m.media-amazon.com/images/I/51Hb2Hwy5VL.jpg,https://m.media-amazon.com/images/I/51+Nr-0qLAL.jpg,https://m.media-amazon.com/images/I/51wMEUeZJ2L.jpg,https://m.media-amazon.com/images/I/61ObUm6Q8RL.jpg,https://m.media-amazon.com/images/I/41ZQGMF7EuL.jpg,https://m.media-amazon.com/images/I/51tRtNqUjiL.jpg,https://m.media-amazon.com/images/I/51QsgUoATQL.jpg", Rose Gold Plated ,349,519 global ratings,4.1,Yellow Chimes Earrings for Women and Girlswomen,https://www.amazon.in/Yellow-Chimes-Double-Zircons-Earrings/dp/B01CZELI0Y,,50 g
,China,"Yellow Chimes, A Brand by Globalbees, brings exclusive Fashion and Traditional Jewellery designs to you from renowned Jewellery manufacturers all over the World. The Best Price is assured to you as we remove all middle- man margins and real-estate expenses by directly purchasing from direct manufacturers. Thus, beautiful and contemporary Ethnic and Statement Jewellery is made available at very reasonable prices to our valuable customers.",,,,,,,B0BRZWLD3G, Yellow Chimes ,"This Cross Pendant is a perfect accessory for all your outfits. Our Product is perfect for valentines Anniversary Birthday gift for Husband boyfriend Men.,Size Details: Chain Length - 60CM, Charm Length - 5.5CM, Width - 2.5CM. Weight - 20.20GM,Alloy: Wipe with Soft Cloth after every use. Keep away from Water, sprays or perfumes. Try to store your jewellery in a flat box to avoid accidental scratches.  Stainless Steel: Harsh Usage or scratching, Avoid Harsh Chemicals. Wipe with soft cloth in case of dust accumulation.,Packaging- Your favorite piece of Jewellery will reach you in an Elegant Yellow Chimes box with safety and precautions. You can leave it to us the job of delivering your Jewellery in original condition to you at your door-step.,Brand Vision - Yellow Chimes is the one stop solution for all jewellery lovers- which is affordable and can fit for any occasion you pick to shape your own style and personality.","Jewellery,Men,Pendants","https://m.media-amazon.com/images/I/316NR8e607L.jpg,https://m.media-amazon.com/images/I/61xGjqLDzGL.jpg,https://m.media-amazon.com/images/I/51M31bJk61L.jpg,https://m.media-amazon.com/images/I/31VuKAmd00L.jpg,https://m.media-amazon.com/images/I/31nnEQSHV+L.jpg,https://m.media-amazon.com/images/I/31WnJYdKMpL.jpg", Metal ,449,,,Yellow Chimes Pendant for Men and Boys Cross Pendants For Men | Black Color Stainless Steel Cross Pendant Chain for Men| Birthday Gift for Men and Boys Anniversary Gift for Husband,https://www.amazon.in/Yellow-Chimes-Pendants-Stainless-Anniversary/dp/B0BRZWLD3G,,
"https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media/sota/a13c50f8-aa6c-45ce-ae10-09c954a6870f._SR970,300_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media/sota/9401dc6f-b8df-4f66-8355-3a86ae2ce2ae._SL300__.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media/sota/ab4a29dd-ba6f-4fcb-a857-1abbeb0a244b._SL300__.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media/sota/9e7edc14-5b38-4a71-9dc2-564fd6cd5b25._SL300__.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media/sota/b964dd14-a749-42b5-ab5e-01cfd7410234._SL300__.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media/sota/c194c9a1-cb22-46e6-ab91-c1a4cd161640._SL300__.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media/sota/c88ead59-d4bf-4efd-b34e-0431758b3571._SL300__.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media/sota/91c6b94f-a06c-4eca-b41c-f81e8e23ae31._SL300__.jpg",China,"YELLOW CHIMES brings exclusive Fashion Jewellery designs to you from renowned jewellery manufacturers all over the world. The Best Price is assured to you as we remove all middlemen margins and real-estate expenses by directly purchasing from international manufacturers. Thus, beautiful and contemprary Fashion Jewellery is made available at very reasonable prices to our valuable customers.",8.00,Centimeters,8.00,Centimeters,5.00,Centimeters,B073LDLLW2, Yellow Chimes ,"BEAUTY- A Vine of Radiating Flowerets winding on your ears, to give you glamorous looks with colorful swiss Zircons. These Cip on earrings are whimsical and eye catching, and would be wonderful smartly finishes off your look, with a beautiful pop of color. So Un-Wind Your beauty with splash of colors!,QUALITY- The specialty of this Technique is - AAA Swiss Cubic Zircons are used. Micro Inlay for Zircons is used. Three times of 18k Rose Gold Plating is used which is not easy to fade.,SKIN FRIENDLY- Alloy (97% tin and 3% bismuth). Nickel free and Lead free as per International Standards that makes it very skin friendly.,SIZE- Earrings are 2 cm in Length and 0.7 cm wide.,GIFT FOR HER! - Ideal Valentine, Birthday, Anniversary gift for someone you LOVE.","Jewellery,Women,Earrings","https://m.media-amazon.com/images/I/51kGNjp2bEL.jpg,https://m.media-amazon.com/images/I/41vx42r-CUL.jpg,https://m.media-amazon.com/images/I/41JAfpcXs5L.jpg,https://m.media-amazon.com/images/I/512WDIMG4IL.jpg", Copper ,299,"2,089 global ratings",4.0,Yellow Chimes Sparkling Colors Flowerets Vine Swiss CZ Clip On Earrings for Women,https://www.amazon.in/Yellow-Chimes-Sparkling-Flowerets-Earrings/dp/B073LDLLW2,,50 g
,India,"Yellow Chimes brings exclusive Fashion Jewellery designs to you from renowned jewellery manufacturers all over the world. The Best Price is assured to you as we remove all middlemen margins and real-estate expenses by directly purchasing from international manufacturers. Thus, beautiful and contemporary Fashion Jewellery is made available at very reasonable prices to our valuable customers.",8.00,Centimeters,8.00,Centimeters,5.00,Centimeters,B09NSR7VVT, Yellow Chimes ,"Ethnic & stylish looks latest trend Studded Kundan Meenakari Jewellery Set gold plated traditional designer jewellery set Stunning & Preciously Suitable Looks for all Kinds of Occasions- Party / Festival / Wedding.,Beautiful Looks at One Glance- with Intricate High Polish creates Glamorous Reflections and adds Luxurious Looks.,Produced under Quality Control; One by One Checking; Focus on Detail Processing. Top Quality/ Latest Trend Design/Anty-Allergy,Skin friendly: Nickel free and lead free as per international standards. Anti-allergic and safe for skin. Necklace Height- 34 CM Including Adjustable, Width - 4.5 CM, Charm Length: 17.2 CM, Maang Tikka Length -13.5 CM, Earrings Size : 6.5* 2.3 CM,Gift for women! - ideal valentine, birthday, anniversary gift for someone you love. with our packaging box, you do not need to opt-in for any additional gift packaging. the product comes in a beautiful elegant ready-to-gift box,Gift for women! - ideal valentine, birthday, anniversary gift for someone you love. with our packaging box, you do not need to opt-in for any additional gift packaging. the product comes in a beautiful elegant ready-to-gift box","Jewellery,Girls,Jewellery Sets","https://m.media-amazon.com/images/I/41jkdE4UnlL.jpg,https://m.media-amazon.com/images/I/41R94cyDRRL.jpg,https://m.media-amazon.com/images/I/519zrmQ2LGL.jpg,https://m.media-amazon.com/images/I/412-GbuY7sL.jpg,https://m.media-amazon.com/images/I/41ST3sjbMpL.jpg,https://m.media-amazon.com/images/I/41Hlxq88IxL.jpg", Copper ,199,6 global ratings,4.4,Yellow Chimes Ethnic Multilayer Pearl Beads Jewellery Set Traditional Choker Necklace Set for Women and Girls…,https://www.amazon.in/Yellow-Chimes-Multilayer-Jewellery-Traditional/dp/B09NSR7VVT,,100 g
