aplus,country_of_origin,description,item_height,item_height_unit,item_length,item_length_unit,item_width,item_width_unit,product_asin,product_brand,product_bullets,product_category,product_images,product_material,product_price,product_rating_count,product_stars,product_title,product_url,product_videos,product_weight
"https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/5ccdbbb7-9c84-476a-98b3-514c977cefee.__CR0,0,600,180_PT0_SX600_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media/sc/2db4ca70-6096-45b0-8a75-f1bb65895e19.__CR0,0,970,600_PT0_SX970_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media/sc/0054fc3f-5b06-4a01-a6ce-d292c5f2d48c.__CR0,0,970,600_PT0_SX970_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media/sc/c4eef993-bdf1-44bc-8e89-d3578c336e5a.__CR0,0,300,300_PT0_SX300_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media/sc/3d476077-c61a-408c-9162-bbd56c5981d7.__CR0,0,300,300_PT0_SX300_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media/sc/9f358f72-3057-427c-8e57-77a6ce025098.__CR0,0,300,300_PT0_SX300_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media/sc/d9c070ca-9eb1-4f8d-8bdc-8c17eea482a9.__CR0,0,300,300_PT0_SX300_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media/sc/5ecef36e-9c88-4b61-a9a3-34a151225c27.__CR0,0,300,300_PT0_SX300_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media/sc/7c8c6103-074d-4bdb-931c-031779629183.__CR0,0,300,300_PT0_SX300_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media/sc/3c0c687d-27d9-4a6c-98e0-7c225a4d4099.__CR0,0,300,300_PT0_SX300_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media/sc/d9c070ca-9eb1-4f8d-8bdc-8c17eea482a9.__CR0,0,300,300_PT0_SX300_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media/sc/5ecef36e-9c88-4b61-a9a3-34a151225c27.__CR0,0,300,300_PT0_SX300_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media/sc/7c8c6103-074d-4bdb-931c-031779629183.__CR0,0,300,300_PT0_SX300_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media/sc/3c0c687d-27d9-4a6c-98e0-7c225a4d4099.__CR0,0,300,300_PT0_SX300_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media/sc/fee180b8-efa9-40f5-bd95-9ba5486e9330.__CR0,0,300,300_PT0_SX300_V1___.jpg",India,,8.00,Centimeters,8.00,Centimeters,5.00,Centimeters,B01BP15NH2, Yellow Chimes ,"BEAUTY- A timeless essential for your jewelry box!Feminine and Elegant,a must-have Multicolor Swiss High Grade Zircon Ring in Vibrant colors will complement any look. Its stunning sparks of Colors centerplaced is fully integrated into the rose gold-plated shank to create a rainbow of crystal colors . Simplicity at its best.,QUALITY- The specialty of this Technique is - AAA Swiss Cubic Zircons are used. Micro Inlay for Zircons is used. Three times of 18k Rose Gold Plating is used which is not easy to fade.,SKIN FRIENDLY- Alloy (97% tin and 3% bismuth). Nickel free and Lead free as per International Standards that makes it very skin friendly.,SIZE- Ring Size is US 7,GIFT FOR HER! - Ideal Valentine, Birthday, Anniversary gift for someone you ❤ LOVE ❤.","Jewellery,Women,Rings","https://m.media-amazon.com/images/I/51aKmEXYWiL.jpg,https://m.media-amazon.com/images/I/51GXxTcZdmL.jpg,https://m.media-amazon.com/images/I/413z-aF9CnL.jpg,https://m.media-amazon.com/images/I/51m0CuorVBL.jpg,https://m.media-amazon.com/images/I/41vcXZ3OkuL.jpg,https://m.media-amazon.com/images/I/51Di6z4zceL.jpg,https://m.media-amazon.com/images/I/51Kc0tyCdFL.jpg,https://m.media-amazon.com/images/I/41pehCu99pL.jpg,https://m.media-amazon.com/images/I/41pA4ADf2FL.jpg", Metal ,275,"1,592 global ratings",4.1,Yellow Chimes Rings for Women Multicolor Swiss Cubic Zircon Ring Flowerets Vine 18K Rose Gold Plated Ring for Women and Girls.,https://www.amazon.in/Yellow-Chimes-Flowerets-Zirconia-Sparkling/dp/B01BP15NH2,,9 g
"https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media/sota/a13c50f8-aa6c-45ce-ae10-09c954a6870f._SR970,300_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media/sota/9401dc6f-b8df-4f66-8355-3a86ae2ce2ae._SL300__.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media/sota/ab4a29dd-ba6f-4fcb-a857-1abbeb0a244b._SL300__.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media/sota/9e7edc14-5b38-4a71-9dc2-564fd6cd5b25._SL300__.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media/sota/b964dd14-a749-42b5-ab5e-01cfd7410234._SL300__.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media/sota/c194c9a1-cb22-46e6-ab91-c1a4cd161640._SL300__.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media/sota/c88ead59-d4bf-4efd-b34e-0431758b3571._SL300__.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media/sota/91c6b94f-a06c-4eca-b41c-f81e8e23ae31._SL300__.jpg",China,"YELLOW CHIMES brings exclusive Fashion Jewellery designs to you from renowned jewellery manufacturers all over the world. The Best Price is assured to you as we remove all middlemen margins and real-estate expenses by directly purchasing from international manufacturers. Thus, beautiful and contemprary Fashion Jewellery is made available at very reasonable prices to our valuable customers.",8.00,Centimeters,8.00,Centimeters,5.00,Centimeters,B073LDLLW2, Yellow Chimes ,"BEAUTY- A Vine of Radiating Flowerets winding on your ears, to give you glamorous looks with colorful swiss Zircons. These Cip on earrings are whimsical and eye catching, and would be wonderful smartly finishes off your look, with a beautiful pop of color. So Un-Wind Your beauty with splash of colors!,QUALITY- The specialty of this Technique is - AAA Swiss Cubic Zircons are used. Micro Inlay for Zircons is used. Three times of 18k Rose Gold Plating is used which is not easy to fade.,SKIN FRIENDLY- Alloy (97% tin and 3% bismuth). Nickel free and Lead free as per International Standards that makes it very skin friendly.,SIZE- Earrings are 2 cm in Length and 0.7 cm wide.,GIFT FOR HER! - Ideal Valentine, Birthday, Anniversary gift for someone you LOVE.","Jewellery,Women,Earrings","https://m.media-amazon.com/images/I/51kGNjp2bEL.jpg,https://m.media-amazon.com/images/I/41vx42r-CUL.jpg,https://m.media-amazon.com/images/I/41JAfpcXs5L.jpg,https://m.media-amazon.com/images/I/512WDIMG4IL.jpg", Copper ,299,"2,089 global ratings",4.0,Yellow Chimes Sparkling Colors Flowerets Vine Swiss CZ Clip On Earrings for Women,https://www.amazon.in/Yellow-Chimes-Sparkling-Flowerets-Earrings/dp/B073LDLLW2,,50 g
"https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/b0ff793b-edde-4cda-8cb5-24c8c412b4cf.__CR0,0,970,600_PT0_SX970_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/0ec992b2-6c40-4bf8-bb6e-7eb32e65bff0.__CR0,0,970,600_PT0_SX970_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/05dbb20c-3048-471a-b62e-77b2bfcdbe93.__CR0,0,970,600_PT0_SX970_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/eb133235-8542-4c62-beaf-daff4b1ecb45.__CR0,0,4042,2500_PT0_SX970_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/54c287c0-c61b-4b9a-a8ee-6e8538ff3464.__CR0,0,970,300_PT0_SX970_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/10ac83df-d3e6-4420-9212-818b919bf852.__CR0,0,970,600_PT0_SX970_V1___.jpg",China,"Yellow Chimes brings you the latest designer bracelet for women. Yellow Chimes has the exquisite collection of top-quality designs with trendy looks and collections like evil eye bracelet, friendship bracelet, best friend bracelet, love bracelet with high quality finishing to drop an elegance on your persona with intricate designs. Yellow Chimes has been one of the best seller brands on online marketplaces as we have the most demanding collections with exclusive designs like mangalsutra bracelet, long distance touch bracelet, women bracelets, bts bracelet, gold bracelet for women. Yellow Chimes also has its unique party wear collections with latest and trendy looks which are suitable for parties like gold bracelet for women, daily wear bracelets and couple bracelet for date nights. These collections are also suitable for valentine gifts, gifts for women, birthday gift for girls, wedding gift for couples, gifts for girlfriend, Mother’s Day gifts. You name it in the collection of jewellery, Yellow Chimes has something for everyone.",8.00,Centimeters,8.00,Centimeters,5.00,Centimeters,B09749LKQH, Yellow Chimes ,"Casual Rose Gold Plated Shiny Cuff Adjustable Size Kadaa Braclet will always be there to match with any style wear. The Sparkling Texture on surface is making it attractive to get compliments. Our Product is perfect for valentines Anniversary Birthday gift for girlfriend and Wife.,Size: Diameter- 6 cm, Material is Rose Gold plated and Metal is Base Metal, Closure is Adjustable.,Care Instructions:  Wipe with Soft Cloth after every use. Keep away from Water, sprays or perfumes. Try to store your jewellery in a flat box to avoid accidental scratches.,Packaging- Your favorite piece of Jewellery will reach you in an Elegant Yellow Chimes box with safety and precautions. You can leave it to us the job of delivering your Jewellery in original condition to you at your door-step.,Brand Vision - Yellow Chimes is the one stop solution for all jewellery lovers- which is affordable and can fit for any occasion you pick to shape your own style and personality.","Jewellery,Women,Bangles & Bracelets,Bracelets","https://m.media-amazon.com/images/I/41MKuP3-fdL.jpg,https://m.media-amazon.com/images/I/41Go1-N0g3L.jpg,https://m.media-amazon.com/images/I/410HFhHgXzL.jpg,https://m.media-amazon.com/images/I/41FfdIhEDxL.jpg,https://m.media-amazon.com/images/I/51QsgUoATQL.jpg,https://m.media-amazon.com/images/I/21Ox+s5noJL.jpg,https://m.media-amazon.com/images/I/31l1fZwfCxL.jpg", Rose Gold Plated ,199,139 global ratings,3.9,Yellow Chimes Bracelet for Women and Girls | Hand Cuff Kadaa Bracelets for Women and Girls | Rose Gold Plated Hand Cuff Kadaa Bracelet |Accessories Jewellery for Women | Birthday Gift for Girls and Women Anniversary Gift for Wife,https://www.amazon.in/Yellow-Chimes-Stylish-Casual-Bracelet/dp/B09749LKQH,,50 g
"https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/2d61a844-5459-44ad-9ec2-3edc5c5d7ee1.__CR0,0,970,600_PT0_SX970_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/db1dc59c-e0dc-4bb6-a0ee-c25b6d66d1b1.__CR0,0,970,600_PT0_SX970_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/54cdf54b-bf71-46e4-8737-8f49ac836dac.__CR0,0,970,600_PT0_SX970_V1___.png,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/1430c644-ffc0-49b7-8847-22e6a729a574.__CR0,0,4042,2500_PT0_SX970_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/0c67f2f5-9982-495f-9b08-ab798bb07906.__CR0,0,970,300_PT0_SX970_V1___.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media-library-service-media/96a7396f-85cc-451e-a534-5482493a0464.__CR0,0,970,600_PT0_SX970_V1___.jpg",India,"Yellow Chimes brings exclusive Fashion Jewellery designs to you from renowned jewellery manufacturers all over the world. The Best Price is assured to you as we remove all middlemen margins and real-estate expenses by directly purchasing from international manufacturers. Thus, beautiful and contemporary Fashion Jewellery is made available at very reasonable prices to our valuable customers.",50.5,Centimeters,4.7,Centimeters,1.5,Centimeters,B09PFSQQS2, Yellow Chimes ,"Elegant and eye-catching -Wolf Teeth Pendant Retro Seven Agate Evil Spirits this Pendant is a Symbolic for Horn Killer Tools used in Medieval Times by Tribal people and symbol of 'Men holding Power'. The Pendant is quite heavy and Golden color is attracting the beholder's eyes.,The Product has plating done on steel with IP Process. IP process Plating makes it never fading of color, and keeps the shine if it is taken care,Pure surgical stainless steel is used to make this Produtc which doesnt cause any harm to skin. Nickel free and Lead free as per International Standards,Size : Pendant Length - 4.7 CM,Width - 1.5 CM .Chain Length of Pendant is 50.5 CM, Including Adjustable.Skin friendly: Nickel free and lead free as per international standards. Anti-allergic and safe for skin,Gift for him - ideal valentine, birthday, anniversary gift for someone you love. With our packaging box, you do not need to opt-in for any additional gift packaging. The product comes in a beautiful elegant ready-to-gift box.","Jewellery,Boys,Pendants","https://m.media-amazon.com/images/I/31g5PAd+bgL.jpg,https://m.media-amazon.com/images/I/A137lzNT9fL.png,https://m.media-amazon.com/images/I/51+Nr-0qLAL.jpg,https://m.media-amazon.com/images/I/417RXKtjkML.jpg,https://m.media-amazon.com/images/I/31aP3873TvL.jpg", Leather ,219,248 global ratings,3.6,Yellow Chimes Pendant for Men Pendant Stainless Steel Chain with Charm Pendant For Men and Boys.,https://www.amazon.in/Yellow-Chimes-Pendant-Stainless-Steel/dp/B09PFSQQS2,,50 g
"https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://m.media-amazon.com/images/S/aplus-media/sota/25cbafa1-97be-4938-b7cc-57f453454504.__CR0,0,300,300_PT0_SX300_V1___.jfif",India,,,,3,Centimeters,1.5,Centimeters,B0B59MKV4Y, Yellow Chimes ,"Elegant and eye-catching, this pendant features a stylish design with crystal. A highly polished finish completes the look of this beautiful pendant. It hangs from a black cord.,Looks- Yellow Chimes by Globalbees brings this selective piece to you with beautiful Looks at One Glance with Intricate High Polish that creates Glamorous Reflections. Perfect for office wear or a casual day out when you want to look gorgeous but don't want to attract too much attention.,Highlights the slender outline of your neck. Matches well with your clothes, makes you more fashionable. Easy to wear.,Pendant - 3*1.3 CM, Rope length- 80 CM.,Gift for men! - ideal valentine, birthday, anniversary gift for someone you ❤ love ❤. with our packaging box, you do not need to opt-in for any additional gift packaging. the product comes in a beautiful elegant ready-to-gift box",,"https://m.media-amazon.com/images/I/31zPb3y3lFL.jpg,https://m.media-amazon.com/images/I/415FLr3shRL.jpg,https://m.media-amazon.com/images/I/31Sp4cs9QFL.jpg,https://m.media-amazon.com/images/I/51+Nr-0qLAL.jpg,https://m.media-amazon.com/images/I/41EFSD+ba0L.jpg,https://m.media-amazon.com/images/I/51GFRVNEyHL.jpg,https://m.media-amazon.com/images/I/51CqMNx8hAL.jpg,https://m.media-amazon.com/images/I/318jfpdQH8L.jpg", Crystal ,199,"2,884 global ratings",3.8,Yellow Chimes,https://www.amazon.in/Yellow-Chimes/dp/B0B59MKV4Y,,50 g
